ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
35603,Alabama,Decatur,"Decatur, AL",19460
35610,Alabama,Anderson,"Florence-Muscle Shoals, AL",22520
35611,Alabama,Athens,"Huntsville, AL",26620
35612,Alabama,Athens,"Huntsville, AL",26620
35613,Alabama,Athens,"Huntsville, AL",26620
35614,Alabama,Athens,"Huntsville, AL",26620
35615,Alabama,Belle Mina,"Huntsville, AL",26620
35616,Alabama,Cherokee,"Florence-Muscle Shoals, AL",22520
35617,Alabama,Cloverdale,"Florence-Muscle Shoals, AL",22520
35618,Alabama,Courtland,"Decatur, AL",19460
35619,Alabama,Danville,"Decatur, AL",19460
35620,Alabama,Elkmont,"Huntsville, AL",26620
35621,Alabama,Eva,"Decatur, AL",19460
35622,Alabama,Falkville,"Decatur, AL",19460
35630,Alabama,Florence,"Florence-Muscle Shoals, AL",22520
35631,Alabama,Florence,"Florence-Muscle Shoals, AL",22520
35632,Alabama,Florence,"Florence-Muscle Shoals, AL",22520
35633,Alabama,Florence,"Florence-Muscle Shoals, AL",22520
35634,Alabama,Florence,"Florence-Muscle Shoals, AL",22520
35640,Alabama,Hartselle,"Decatur, AL",19460
35643,Alabama,Hillsboro,"Decatur, AL",19460
35645,Alabama,Killen,"Florence-Muscle Shoals, AL",22520
35646,Alabama,Leighton,"Florence-Muscle Shoals, AL",22520
35647,Alabama,Lester,"Huntsville, AL",26620
35648,Alabama,Lexington,"Florence-Muscle Shoals, AL",22520
35649,Alabama,Mooresville,"Huntsville, AL",26620
35650,Alabama,Moulton,"Decatur, AL",19460
35651,Alabama,Mount Hope,"Decatur, AL",19460
35652,Alabama,Rogersville,"Florence-Muscle Shoals, AL",22520
35653,Alabama,Russellville,"Russellville, AL",40770
35654,Alabama,Russellville,"Russellville, AL",40770
35660,Alabama,Sheffield,"Florence-Muscle Shoals, AL",22520
35661,Alabama,Muscle Shoals,"Florence-Muscle Shoals, AL",22520
35662,Alabama,Muscle Shoals,"Florence-Muscle Shoals, AL",22520
35670,Alabama,Somerville,"Decatur, AL",19460
35671,Alabama,Tanner,"Huntsville, AL",26620
35672,Alabama,Town Creek,"Decatur, AL",19460
35673,Alabama,Trinity,"Decatur, AL",19460
35674,Alabama,Tuscumbia,"Florence-Muscle Shoals, AL",22520
35677,Alabama,Waterloo,"Florence-Muscle Shoals, AL",22520
35739,Alabama,Ardmore,"Huntsville, AL",26620
35740,Alabama,Bridgeport,"Scottsboro, AL",42460
35741,Alabama,Brownsboro,"Huntsville, AL",26620
35742,Alabama,Capshaw,"Huntsville, AL",26620
35744,Alabama,Dutton,"Scottsboro, AL",42460
35745,Alabama,Estillfork,"Scottsboro, AL",42460
35746,Alabama,Fackler,"Scottsboro, AL",42460
35747,Alabama,Grant,"Albertville, AL",10700
35748,Alabama,Gurley,"Huntsville, AL",26620
35749,Alabama,Harvest,"Huntsville, AL",26620
35750,Alabama,Hazel Green,"Huntsville, AL",26620
35751,Alabama,Hollytree,"Scottsboro, AL",42460
35752,Alabama,Hollywood,"Scottsboro, AL",42460
35754,Alabama,Laceys Spring,"Decatur, AL",19460
35755,Alabama,Langston,"Albertville, AL",10700
35756,Alabama,Madison,"Huntsville, AL",26620
35757,Alabama,Madison,"Huntsville, AL",26620
35758,Alabama,Madison,"Huntsville, AL",26620
35759,Alabama,Meridianville,"Huntsville, AL",26620
35760,Alabama,New Hope,"Huntsville, AL",26620
35761,Alabama,New Market,"Huntsville, AL",26620
35762,Alabama,Normal,"Huntsville, AL",26620
35763,Alabama,Owens Cross Roads,"Huntsville, AL",26620
35764,Alabama,Paint Rock,"Scottsboro, AL",42460
35765,Alabama,Pisgah,"Scottsboro, AL",42460
35766,Alabama,Princeton,"Scottsboro, AL",42460
35767,Alabama,Ryland,"Huntsville, AL",26620
35768,Alabama,Scottsboro,"Scottsboro, AL",42460
35769,Alabama,Scottsboro,"Scottsboro, AL",42460
35771,Alabama,Section,"Scottsboro, AL",42460
35772,Alabama,Stevenson,"Scottsboro, AL",42460
35773,Alabama,Toney,"Huntsville, AL",26620
35774,Alabama,Trenton,"Scottsboro, AL",42460
35775,Alabama,Valhermoso Springs,"Decatur, AL",19460
35776,Alabama,Woodville,"Scottsboro, AL",42460
35801,Alabama,Huntsville,"Huntsville, AL",26620
35802,Alabama,Huntsville,"Huntsville, AL",26620
35803,Alabama,Huntsville,"Huntsville, AL",26620
35804,Alabama,Huntsville,"Huntsville, AL",26620
35805,Alabama,Huntsville,"Huntsville, AL",26620
35806,Alabama,Huntsville,"Huntsville, AL",26620
35807,Alabama,Huntsville,"Huntsville, AL",26620
35808,Alabama,Huntsville,"Huntsville, AL",26620
35809,Alabama,Huntsville,"Huntsville, AL",26620
35810,Alabama,Huntsville,"Huntsville, AL",26620
35811,Alabama,Huntsville,"Huntsville, AL",26620
35812,Alabama,Huntsville,"Huntsville, AL",26620
35813,Alabama,Huntsville,"Huntsville, AL",26620
35814,Alabama,Huntsville,"Huntsville, AL",26620
35815,Alabama,Huntsville,"Huntsville, AL",26620
35816,Alabama,Huntsville,"Huntsville, AL",26620
35824,Alabama,Huntsville,"Huntsville, AL",26620
35893,Alabama,Huntsville,"Huntsville, AL",26620
35894,Alabama,Huntsville,"Huntsville, AL",26620
35895,Alabama,Huntsville,"Huntsville, AL",26620
35896,Alabama,Huntsville,"Huntsville, AL",26620
35897,Alabama,Huntsville,"Huntsville, AL",26620
35898,Alabama,Huntsville,"Huntsville, AL",26620
35899,Alabama,Huntsville,"Huntsville, AL",26620
35901,Alabama,Gadsden,"Gadsden, AL",23460
35902,Alabama,Gadsden,"Gadsden, AL",23460
35903,Alabama,Gadsden,"Gadsden, AL",23460
35904,Alabama,Gadsden,"Gadsden, AL",23460
35905,Alabama,Gadsden,"Gadsden, AL",23460
35906,Alabama,Rainbow City,"Gadsden, AL",23460
35907,Alabama,Gadsden,"Gadsden, AL",23460
35950,Alabama,Albertville,"Albertville, AL",10700
35951,Alabama,Albertville,"Albertville, AL",10700
35952,Alabama,Altoona,"Gadsden, AL",23460
35953,Alabama,Ashville,"Birmingham, AL",13820
35954,Alabama,Attalla,"Gadsden, AL",23460
35956,Alabama,Boaz,"Gadsden, AL",23460
35957,Alabama,Boaz,"Albertville, AL",10700
35958,Alabama,Bryant,"Scottsboro, AL",42460
35959,Alabama,Cedar Bluff,,
35960,Alabama,Centre,,
35961,Alabama,Collinsville,"Fort Payne, AL",22840
35962,Alabama,Crossville,"Fort Payne, AL",22840
35963,Alabama,Dawson,"Fort Payne, AL",22840
35964,Alabama,Douglas,"Albertville, AL",10700
35966,Alabama,Flat Rock,"Scottsboro, AL",42460
35967,Alabama,Fort Payne,"Fort Payne, AL",22840
35968,Alabama,Fort Payne,"Fort Payne, AL",22840
35971,Alabama,Fyffe,"Fort Payne, AL",22840
35972,Alabama,Gallant,"Gadsden, AL",23460
35973,Alabama,Gaylesville,,
35974,Alabama,Geraldine,"Fort Payne, AL",22840
35975,Alabama,Groveoak,"Fort Payne, AL",22840
