County,State,State Abbreviation,County Population,FIPS - County Code,County Name Fragment,County % of State Population,State Population
Otero County,Colorado,CO,18460,08089,otero-county-co,0.003098618831780415,5957493
Ouray County,Colorado,CO,5024,08091,ouray-county-co,0.0008433077470674326,5957493
Park County,Colorado,CO,17739,08093,park-county-co,0.0029775947701491216,5957493
Phillips County,Colorado,CO,4491,08095,phillips-county-co,0.0007538405836146178,5957493
Pitkin County,Colorado,CO,17119,08097,pitkin-county-co,0.0028735241484966916,5957493
Prowers County,Colorado,CO,11931,08099,prowers-county-co,0.0020026880434437775,5957493
Pueblo County,Colorado,CO,168726,08101,pueblo-county-co,0.028321644691819192,5957493
Rio Blanco County,Colorado,CO,6518,08103,rio-blanco-county-co,0.0010940843740815138,5957493
Rio Grande County,Colorado,CO,11394,08105,rio-grande-county-co,0.001912549456625463,5957493
Routt County,Colorado,CO,24990,08107,routt-county-co,0.004194717475958428,5957493
Saguache County,Colorado,CO,6511,08109,saguache-county-co,0.0010929093831918897,5957493
San Juan County,Colorado,CO,690,08111,san-juan-county-co,0.00011582053054867207,5957493
San Miguel County,Colorado,CO,8026,08113,san-miguel-county-co,0.0013472109828748435,5957493
Sedgwick County,Colorado,CO,2346,08115,sedgwick-county-co,0.00039378980386548505,5957493
Summit County,Colorado,CO,30857,08117,summit-county-co,0.00517952769730489,5957493
Teller County,Colorado,CO,24774,08119,teller-county-co,0.004158460614221452,5957493
Washington County,Colorado,CO,4839,08121,washington-county-co,0.0008122544164130785,5957493
Weld County,Colorado,CO,340711,08123,weld-county-co,0.05719033157067914,5957493
Yuma County,Colorado,CO,9921,08125,yuma-county-co,0.0016652978022802544,5957493
Fairfield County,Connecticut,CT,,09001,fairfield-county-ct,,3675069
Hartford County,Connecticut,CT,,09003,hartford-county-ct,,3675069
Litchfield County,Connecticut,CT,,09005,litchfield-county-ct,,3675069
Middlesex County,Connecticut,CT,,09007,middlesex-county-ct,,3675069
New Haven County,Connecticut,CT,,09009,new-haven-county-ct,,3675069
New London County,Connecticut,CT,,09011,new-london-county-ct,,3675069
Tolland County,Connecticut,CT,,09013,tolland-county-ct,,3675069
Windham County,Connecticut,CT,,09015,windham-county-ct,,3675069
