Zillow_RegionID,Zillow_RegionName,Zillow_StateName,CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Code,Metropolitan Division Title,CSA Code,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Warren County,Virginia,51,187
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Alexandria city,Virginia,51,510
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Fairfax city,Virginia,51,600
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Falls Church city,Virginia,51,610
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Fredericksburg city,Virginia,51,630
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Manassas city,Virginia,51,683
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Manassas Park city,Virginia,51,685
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Jefferson County,West Virginia,54,37
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,23224,"Frederick-Gaithersburg-Bethesda, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Frederick County,Maryland,24,21
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,23224,"Frederick-Gaithersburg-Bethesda, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Montgomery County,Maryland,24,31
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,47764,"Washington, DC-MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",District of Columbia,District of Columbia,11,1
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,47764,"Washington, DC-MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Charles County,Maryland,24,17
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,47764,"Washington, DC-MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Prince George's County,Maryland,24,33
394974,"Philadelphia, PA",PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,15804,"Camden, NJ",428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Burlington County,New Jersey,34,5
