County,State,County Code,ZIP,USPS Default City for ZIP,USPS Default State for ZIP,% of County Residents in ZIP,County Population
Dale County,Alabama,01045,36330,Enterprise,AL,0.06340982772868857,49516
Dale County,Alabama,01045,36374,Skipperville,AL,0.02037378424766385,49516
Dale County,Alabama,01045,36303,Dothan,AL,0.019229546754815332,49516
Dale County,Alabama,01045,36350,Midland City,AL,0.15656983027143856,49516
Dale County,Alabama,01045,36311,Ariton,AL,0.035026381031085116,49516
Dale County,Alabama,01045,36361,Ozark,AL,0.05247600279702498,49516
Dallas County,Alabama,01047,36759,Marion Junction,AL,0.036720961719935996,37536
Dallas County,Alabama,01047,36767,Orrville,AL,0.04320354490624872,37536
Dallas County,Alabama,01047,36773,Safford,AL,0.00910843966684446,37536
Dallas County,Alabama,01047,36761,Minter,AL,0.01538587781561564,37536
Dallas County,Alabama,01047,36749,Jones,AL,0.011775325154884504,37536
Dallas County,Alabama,01047,36701,Selma,AL,0.546834612070734,37536
Dallas County,Alabama,01047,36785,Tyler,AL,0.007139047306445657,37536
Dallas County,Alabama,01047,36758,Plantersville,AL,0.017519386206047677,37536
Dallas County,Alabama,01047,36703,Selma,AL,0.2920855044516473,37536
Dallas County,Alabama,01047,36775,Sardis,AL,0.020227300701596028,37536
DeKalb County,Alabama,01049,35966,Flat Rock,AL,0.019747877802063742,71946
DeKalb County,Alabama,01049,35981,Ider,AL,0.031744014639353425,71946
DeKalb County,Alabama,01049,35989,Valley Head,AL,0.04384181365323032,71946
DeKalb County,Alabama,01049,35974,Geraldine,AL,0.024170182483606972,71946
DeKalb County,Alabama,01049,35983,Leesburg,AL,0.000559141971229604,71946
DeKalb County,Alabama,01049,35967,Fort Payne,AL,0.20927159050475272,71946
DeKalb County,Alabama,01049,35978,Henagar,AL,0.07040105728663651,71946
DeKalb County,Alabama,01049,35988,Sylvania,AL,0.02503431098459818,71946
DeKalb County,Alabama,01049,35765,Pisgah,AL,0.0034056829156712243,71946
DeKalb County,Alabama,01049,35956,Boaz,AL,0.000025415544146800183,71946
DeKalb County,Alabama,01049,35963,Dawson,AL,0.024348091292634575,71946
DeKalb County,Alabama,01049,35961,Collinsville,AL,0.05621918365272201,71946
DeKalb County,Alabama,01049,35771,Section,AL,0.0025161388705332182,71946
DeKalb County,Alabama,01049,35979,Higdon,AL,0.011970721293142887,71946
DeKalb County,Alabama,01049,35954,Attalla,AL,0.0018553347227164133,71946
DeKalb County,Alabama,01049,35951,Albertville,AL,0.031489859197885425,71946
DeKalb County,Alabama,01049,35986,Rainsville,AL,0.11457327301377522,71946
DeKalb County,Alabama,01049,35984,Mentone,AL,0.03283688303766583,71946
DeKalb County,Alabama,01049,35971,Fyffe,AL,0.06389467798505566,71946
DeKalb County,Alabama,01049,35962,Crossville,AL,0.08958979311747065,71946
DeKalb County,Alabama,01049,35957,Boaz,AL,0.02666090580999339,71946
DeKalb County,Alabama,01049,35975,Groveoak,AL,0.0140039648248869,71946
DeKalb County,Alabama,01049,35744,Dutton,AL,0.000025415544146800183,71946
DeKalb County,Alabama,01049,35959,Cedar Bluff,AL,0.0008132974126976058,71946
DeKalb County,Alabama,01049,35968,Fort Payne,AL,0.10100137243938392,71946
Elmore County,Alabama,01051,36078,Tallassee,AL,0.10747864165199845,88669
Elmore County,Alabama,01051,35136,Rockford,AL,0.00004293135276692568,88669
Elmore County,Alabama,01051,36080,Titus,AL,0.03451680762460825,88669
Elmore County,Alabama,01051,35010,Alexander City,AL,0.013458979092431203,88669
Elmore County,Alabama,01051,36092,Wetumpka,AL,0.2596273558579831,88669
Elmore County,Alabama,01051,36020,Coosada,AL,0.012342763920491134,88669
Elmore County,Alabama,01051,36025,Elmore,AL,0.0422873824754218,88669
Elmore County,Alabama,01051,36024,Eclectic,AL,0.09247413385995792,88669
Elmore County,Alabama,01051,36054,Millbrook,AL,0.1804834070321556,88669
Elmore County,Alabama,01051,36022,Deatsville,AL,0.09356888335551453,88669
Elmore County,Alabama,01051,36067,Prattville,AL,0,88669
Elmore County,Alabama,01051,36093,Wetumpka,AL,0.12250461512042245,88669
Elmore County,Alabama,01051,36051,Marbury,AL,0.004507792040527197,88669
Elmore County,Alabama,01051,36066,Prattville,AL,0.02990168720216374,88669
Elmore County,Alabama,01051,36026,Equality,AL,0.0068046194135577215,88669
Escambia County,Alabama,01053,36543,Huxford,AL,0,36695
Escambia County,Alabama,01053,36432,Castleberry,AL,0.013697322579105617,36695
Escambia County,Alabama,01053,36441,Flomaton,AL,0.1061423185224073,36695
Escambia County,Alabama,01053,36420,Andalusia,AL,0.0034839879730826136,36695
Escambia County,Alabama,01053,36562,Perdido,AL,0.004820312127141698,36695
Escambia County,Alabama,01053,36475,Repton,AL,0.00009545172528993462,36695
Escambia County,Alabama,01053,36503,Atmore,AL,0,36695
