Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"Valdosta, GA",46660,Metropolitan Statistical Area,151118
"Jefferson City, MO",27620,Metropolitan Statistical Area,150733
"Wichita Falls, TX",48660,Metropolitan Statistical Area,149947
"Corbin, KY",18340,Micropolitan Statistical Area,149563
"Cookeville, TN",18260,Micropolitan Statistical Area,148226
"Alexandria, LA",10780,Metropolitan Statistical Area,148171
"Winchester, VA-WV",49020,Metropolitan Statistical Area,147260
"Sherman-Denison, TX",43300,Metropolitan Statistical Area,146907
"Ottawa, IL",36837,Micropolitan Statistical Area,146599
"Texarkana, TX-AR",45500,Metropolitan Statistical Area,145907
"Albany, GA",10500,Metropolitan Statistical Area,145508
"Rocky Mount, NC",40580,Metropolitan Statistical Area,145383
"Dalton, GA",19140,Metropolitan Statistical Area,144722
"Flagstaff, AZ",22380,Metropolitan Statistical Area,144472
"Sioux City, IA-NE-SD",43580,Metropolitan Statistical Area,144402
"Lebanon, PA",30140,Metropolitan Statistical Area,144252
"Pottsville, PA",39060,Micropolitan Statistical Area,143786
"Morgantown, WV",34060,Metropolitan Statistical Area,141817
"Anderson Creek, NC",11360,Micropolitan Statistical Area,141477
"Wausau, WI",48140,Metropolitan Statistical Area,138612
"Hammond, LA",25220,Metropolitan Statistical Area,138064
"Harrisonburg, VA",25500,Metropolitan Statistical Area,137650
"Jonesboro, AR",27860,Metropolitan Statistical Area,136390
"Bismarck, ND",13900,Metropolitan Statistical Area,135786
"Wheeling, WV-OH",48540,Metropolitan Statistical Area,135517
"Springfield, OH",44220,Metropolitan Statistical Area,134610
"Eureka-Arcata, CA",21700,Micropolitan Statistical Area,133985
"Battle Creek, MI",12980,Metropolitan Statistical Area,133366
"Napa, CA",34900,Metropolitan Statistical Area,133216
"Manhattan, KS",31740,Metropolitan Statistical Area,132831
"Tupelo, MS",46180,Micropolitan Statistical Area,132027
"Albany, OR",10540,Metropolitan Statistical Area,131496
"Mount Vernon-Anacortes, WA",34580,Metropolitan Statistical Area,131417
"Johnstown, PA",27780,Metropolitan Statistical Area,130668
"Salisbury, MD",41540,Metropolitan Statistical Area,129710
"Cleveland, TN",17420,Metropolitan Statistical Area,129612
"Elizabethtown, KY",21060,Metropolitan Statistical Area,127576
"Staunton-Stuarts Draft, VA",44420,Metropolitan Statistical Area,127344
"Augusta-Waterville, ME",12300,Micropolitan Statistical Area,127259
"Lawton, OK",30020,Metropolitan Statistical Area,127001
"Missoula, MT",33540,Metropolitan Statistical Area,126939
"Richmond-Berea, KY",40080,Micropolitan Statistical Area,126861
"Pittsfield, MA",38340,Metropolitan Statistical Area,126818
"Bozeman, MT",14580,Metropolitan Statistical Area,126409
"Glens Falls, NY",24020,Metropolitan Statistical Area,125427
"Ames, IA",11180,Metropolitan Statistical Area,125156
"Mansfield, OH",31900,Metropolitan Statistical Area,125064
"Jamestown-Dunkirk, NY",27460,Micropolitan Statistical Area,124891
"Wenatchee-East Wenatchee, WA",48300,Metropolitan Statistical Area,124795
"Sierra Vista-Douglas, AZ",43420,Metropolitan Statistical Area,124640
"New Bern, NC",35100,Micropolitan Statistical Area,124215
"Morristown, TN",34100,Metropolitan Statistical Area,124054
"Holland, MI",26090,Micropolitan Statistical Area,121939
"Farmington, NM",22140,Metropolitan Statistical Area,120675
"Twin Falls, ID",46300,Metropolitan Statistical Area,120635
"San Angelo, TX",41660,Metropolitan Statistical Area,120606
"Lawrence, KS",29940,Metropolitan Statistical Area,120553
"Altoona, PA",11020,Metropolitan Statistical Area,120273
"Goldsboro, NC",24140,Metropolitan Statistical Area,118686
"St. Joseph, MO-KS",41140,Metropolitan Statistical Area,118475
"Sheboygan, WI",43100,Metropolitan Statistical Area,117752
"Lumberton, NC",31300,Micropolitan Statistical Area,117365
"Wooster, OH",49300,Micropolitan Statistical Area,116510
"Anniston-Oxford, AL",11500,Metropolitan Statistical Area,116429
"Brunswick-St. Simons, GA",15260,Metropolitan Statistical Area,116074
"Watertown-Fort Drum, NY",48060,Metropolitan Statistical Area,114787
"Sandusky, OH",41780,Metropolitan Statistical Area,113838
"Lewiston-Auburn, ME",30340,Metropolitan Statistical Area,113765
"Kalispell, MT",28060,Micropolitan Statistical Area,113679
"Weirton-Steubenville, WV-OH",48260,Metropolitan Statistical Area,113544
"Torrington, CT",45860,Micropolitan Statistical Area,113463
"Longview-Kelso, WA",31020,Metropolitan Statistical Area,112864
"Williamsport, PA",48700,Metropolitan Statistical Area,112724
"Owensboro, KY",36980,Metropolitan Statistical Area,112512
"Roseburg, OR",40700,Micropolitan Statistical Area,112435
"Muncie, IN",34620,Metropolitan Statistical Area,112321
"Michigan City-La Porte, IN",33140,Metropolitan Statistical Area,111706
"Beckley, WV",13220,Metropolitan Statistical Area,111428
"Show Low, AZ",43320,Micropolitan Statistical Area,109175
"Hermitage, PA",25850,Micropolitan Statistical Area,108503
"Sunbury, PA",44980,Micropolitan Statistical Area,107980
"Sebring, FL",42700,Metropolitan Statistical Area,107614
"Massena-Ogdensburg, NY",32390,Micropolitan Statistical Area,106940
"Pinehurst-Southern Pines, NC",38240,Metropolitan Statistical Area,106898
"Gettysburg, PA",23900,Metropolitan Statistical Area,106748
"Kankakee, IL",28100,Metropolitan Statistical Area,105940
"Whitewater-Elkhorn, WI",48580,Micropolitan Statistical Area,105822
"LaGrange, GA-AL",29300,Micropolitan Statistical Area,104821
"Mankato, MN",31860,Metropolitan Statistical Area,104248
"Sumter, SC",44940,Metropolitan Statistical Area,104165
"Fond du Lac, WI",22540,Metropolitan Statistical Area,103948
"Ithaca, NY",27060,Metropolitan Statistical Area,103558
"Gadsden, AL",23460,Metropolitan Statistical Area,103241
